"Campagna","CodStaz","codice_aziendale","Reg","Prov_","Stazione","cod_istat","Comune","Linea fisica","Saliti7-9","Discesi7-9","Corse7-9","Saliti24H","Corse24H","Saliti_S","Saliti_R","Saliti_RE","Corse_S","Corse_R","Corse_RE","Anno","tipo_giorno","Calendario","POINT_X","POINT_Y","Location"
"C_Luglio2023","272","S01844","LO","BS","VISANO","17203","Visano","BRESCIA-PARMA","40","30","4","140","25","0","140","0","0","25","0","2023","Feriale","estivo","10.363129196","45.315389802","POINT (10.363129196 45.315389802)"
"C_nov 2020","166","S01451","LO","CO","CANTU'","13041","Cantu'","ALBATE-MOLTENO","0","10","3","10","13","0","10","0","0","13","0","2020","Feriale","Invernale","9.130350159","45.752397871","POINT (9.130350159 45.752397871)"
"C_nov 2018","83","S01037","LO","MI","RHO","15182","Rho","TORINO-MILANO","1790","1080","20","7150","176","7150","0","0","176","0","0","2018","Fer","Invernale","9.043583998","45.523927896","POINT (9.043583998 45.523927896)"
"C_nov 2019","328","S01951","EM","PC","S.NICOLO'","33039","Rottofreno","ALESS.-PIACENZA","0","0","0","20","15","0","20","0","0","15","0","2019","Fer","Invernale","9.606551575","4.505875181","POINT (9.606551575 45.05875181)"
"C_nov 2016","2.785","S01726","LO","CO","Mozzate","13159","Mozzate","Saronno - Varese Nord","410","60","8","900","57","0","900","0","0","57","0","2016","Fer","Invernale","8.955224279","45.677788011","POINT (8.955224279 45.677788011)"
"C_Luglio2023","109","S01200","LO","VA","PORTO CERESIO","12113","Porto Ceresio","PORTO C.-GALLARATE","100","70","4","620","34","0","0","620","0","0","34","2023","Feriale","estivo","8.900389083","45.903750516","POINT (8.900389083 45.903750516)"
"C_nov 2018","112","S01204","LO","VA","INDUNO OLONA","12083","Induno Olona","PORTO C.-GALLARATE","270","70","12","790","103","500","0","300","69","0","34","2018","Fer","Invernale","8.838391122","45.846513143","POINT (8.838391122 45.846513143)"
"C_nov 2017","2.765","S01093","LO","CO","Inverigo","13118","Inverigo","Seveso - Asso","260","60","6","560","50","0","560","0","0","50","0","2017","Fer","Invernale","9.224441129","45.740269966","POINT (9.224441129 45.740269966)"
"C_nov 2017","2.795","S01014","LO","BS","Pisogne","17143","Pisogne","Iseo - Pisogne","150","40","4","400","34","0","250","160","0","21","13","2017","Fer","Invernale","10.105622584","45.806591032","POINT (10.105622584 45.806591032)"
"C_nov 2016","42","S00400","LO","PV","SAIRANO-ZINASCO","18190","Zinasco","CAVA C.-TORREBER","30","10","5","60","26","0","60","0","0","26","0","2016","Fer","Invernale","9.030186913","45.133877321","POINT (9.030186913 45.133877321)"
"C_nov 2021","5.919","S01146","LO","VA","Malpensa Aeroporto T2","12140","Vizzola Ticino","Busto Arsizio - Malpensa","0","0","8","0","51","0","0","0","14","24","13","2021","Feriale","Invernale","8.721967232","4.565058598","POINT (8.721967232 45.65058598)"
"C_Luglio2023","2.862","S01650","LO","MI","MILANO DATEO","15146","Milano","PASSANTE","850","1720","39","5480","332","5480","0","0","332","0","0","2023","Feriale","estivo","9.217309375","45.467669611","POINT (9.217309375 45.467669611)"
"C_nov 2022","188","S01491","LO","LC","COSTA MASNAGA","97026","Costa Masnaga","MONZA-LECCO","280","60","10","420","38","420","0","0","38","0","0","2022","Feriale","Invernale","0.928526064","45.763506456","POINT (9.28526064 45.763506456)"
"C_nov 2018","196","S01512","LO","LC","OSNAGO","97061","Osnago","TIRANO-MILANO Mz-Lc","480","60","8","1000","68","1000","0","0","68","0","0","2018","Fer","Invernale","9.387021835","45.678609287","POINT (9.387021835 45.678609287)"
"C_nov 2016","250","S01803","LO","PV","CERTOSA DI PAVIA","18046","Certosa di Pavia","MILANO-GENOVA","430","70","8","970","74","970","0","0","72","0","2","2016","Fer","Invernale","9.154491353","45.257008002","POINT (9.154491353 45.257008002)"
"C_nov 2019","2.854","S00023","PI","NO","Novara FN","3106","Novara","Saronno - Novara","230","560","6","1300","38","0","1300","0","0","38","0","2019","Fer","Invernale","8.627061488","45.452334846","POINT (8.627061488 45.452334846)"
"C_nov 2016","2.808","S01770","LO","BS","Sellero","17176","Sellero","Breno - Edolo","0","0","1","0","2","0","0","0","0","2","0","2016","Fer","Invernale","10.346597177","46.046262075","POINT (10.346597177 46.046262075)"
"C_nov 2020","95","S01117","LO","VA","CALDE'","12045","Castelveccana","LUINO-GALLARATE","10","10","2","20","28","0","20","0","0","28","0","2020","Feriale","Invernale","8.663196767","45.945891984","POINT (8.663196767 45.945891984)"
"C_nov 2016","174","S01461","LO","LC","SALA AL BARRO-GALBIATE","97036","Galbiate","MONZA-LECCO","50","40","7","100","37","70","30","0","34","3","0","2016","Fer","Invernale","9.359251698","45.821167176","POINT (9.359251698 45.821167176)"
"C_Luglio2023","2.784","S01740","LO","VA","Morosolo-Casciago","12038","Casciago","Varese Nord - Laveno Momb","60","40","7","180","40","0","80","110","0","23","17","2023","Feriale","estivo","8.777403493","45.826573232","POINT (8.777403493 45.826573232)"
"C_nov 2019","158","S01434","LO","SO","PONTE IN VALTELLINA","14052","Ponte in Valtellina","TIRANO-MILANO So-Tir","10","10","1","40","14","0","40","10","0","8","6","2019","Fer","Invernale","9.975919439","46.162708899","POINT (9.975919439 46.162708899)"
"C_nov 2016","143","S01413","LO","LC","LIERNA","97043","Lierna","TIRANO-MILANO Lc-So","80","20","3","220","28","0","190","40","0","26","2","2016","Fer","Invernale","9.303109353","45.961043911","POINT (9.303109353 45.961043911)"
"C_nov 2018","2.715","S01778","LO","BS","Boario Terme","17065","Darfo Boario Terme","Pisogne - Breno","40","30","3","220","32","0","120","110","0","19","13","2018","Fer","Invernale","10.190958686","45.892043214","POINT (10.190958686 45.892043214)"
"C_Luglio2023","217","S01600","LO","BG","VERDELLO DALMINE","16233","Verdello","BERGAMO-CREMONA","690","230","18","2440","100","0","620","1820","0","46","54","2023","Feriale","estivo","0.961982632","45.605792605","POINT (9.61982632 45.605792605)"
"C_Novembre2023","2.800","S01069","LO","MI","Milano Quarto Oggiaro","15146","Milano","Milano Nord Cadorna - Sar","720","750","16","3280","133","3280","0","0","133","0","0","2023","Feriale","Invernale","9.145253109","45.519239088","POINT (9.145253109 45.519239088)"
"C_nov 2017","274","S01846","LO","BS","REMEDELLO SOTTO","17160","Remedello","BRESCIA-PARMA","10","10","3","40","24","0","40","0","0","24","0","2017","Fer","Invernale","1.038843093","45.257552358","POINT (10.38843093 45.257552358)"
"C_nov 2015","5.852","S01927","LO","MI","Ceriano L. Groane","108018","Ceriano Laghetto","Saronno - Seregno","50","30","8","250","68","250","0","0","68","0","0","2015","Fer","Invernale","0.009099863","45.627200546","POINT (9.099863 45.627200546)"
"C_nov 2019","121","S01312","LO","CO","CUCCIAGO","13084","Cucciago","CHIASSO-MILANO","120","40","9","250","72","250","0","0","72","0","0","2019","Fer","Invernale","9.082243395","45.740890259","POINT (9.082243395 45.740890259)"
"C_nov 2022","2.785","S01726","LO","CO","Mozzate","13159","Mozzate","Saronno - Varese Nord","490","100","8","1020","59","0","1020","0","0","59","0","2022","Feriale","Invernale","8.955224279","45.677788011","POINT (8.955224279 45.677788011)"
"C_nov 2020","2.799","S01787","LO","BS","Provaglio-Timoline","17156","Provaglio d'Iseo","Brescia - Iseo","10","10","5","30","36","0","30","0","0","36","0","2020","Feriale","Invernale","10.035246585","45.635075228","POINT (10.035246585 45.635075228)"
"C_nov 2021","5.854","S01109","LO","MI","Cormano-Cusano Milanino","15098","Cusano Milanino","Milano Nord Bovisa - Seve","840","320","20","2260","123","2260","0","0","123","0","0","2021","Feriale","Invernale","9.173714792","45.545195079","POINT (9.173714792 45.545195079)"
"C_nov 2021","2.865","S01624","LO","MI","SAN DONATO MILANESE","15192","San Donato Milanese","MILANO-BOLOGNA","70","130","6","440","65","440","0","0","65","0","0","2021","Feriale","Invernale","9.253900071","45.417940908","POINT (9.253900071 45.417940908)"
"C_nov 2017","165","S01450","LO","CO","ALBATE TRECALLO","13075","Como","ALBATE-MOLTENO","10","30","4","40","22","0","40","0","0","22","0","2017","Fer","Invernale","9.095790373","45.777467374","POINT (9.095790373 45.777467374)"
"C_nov 2016","177","S01480","LO","MI","MONZA SOBBORGHI","108033","Monza","MONZA-LECCO","260","70","6","510","40","510","0","0","40","0","0","2016","Fer","Invernale","9.284488422","45.582043348","POINT (9.284488422 45.582043348)"
"C_nov 2019","275","S01847","LO","MN","ASOLA","20002","Asola","BRESCIA-PARMA","60","30","4","170","22","0","170","0","0","22","0","2019","Fer","Invernale","10.402333601","45.220534843","POINT (10.402333601 45.220534843)"
"C_nov 2015","178","S01481","LO","MI","VILLASANTA","108049","Villasanta","MONZA-LECCO","340","60","6","590","41","590","0","0","41","0","0","2015","FER","Invernale","9.305121962","45.603443796","POINT (9.305121962 45.603443796)"
"C_nov 2022","212","S01536","LO","BG","CHIUDUNO","16073","Chiuduno","LECCO-BRESCIA","80","40","4","320","32","0","320","0","0","32","0","2022","Feriale","Invernale","9.846952911","45.650526953","POINT (9.846952911 45.650526953)"
"C_nov 2015","267","S01830","LO","MI","BORGOLOMBARDO","15192","San Donato Milanese","MILANO-BOLOGNA","290","130","8","880","75","880","0","0","75","0","0","2015","Fer","Invernale","9.271012475","4.540385926","POINT (9.271012475 45.40385926)"
"C_nov 2015","2.811","S01925","LO","MI","Seveso","108040","Seveso","Milano Nord Bovisa - Seve","1430","640","24","3560","189","1810","1760","0","137","52","0","2015","Fer","Invernale","0.914058178","45.647945743","POINT (9.14058178 45.647945743)"
"C_nov 2020","88","S01061","LO","PV","VIGEVANO","18177","Vigevano","MILANO-MORTARA-AL","480","170","7","1930","45","0","1930","0","0","45","0","2020","Feriale","Invernale","8.862008085","45.312797339","POINT (8.862008085 45.312797339)"
"C_nov 2019","314","S01924","LO","MN","S.MICHELE IN BOSCO","20031","Marcaria","CODOGNO-MANTOVA","10","0","1","10","6","0","10","0","0","6","0","2019","Fer","Invernale","10.573308108","45.122485012","POINT (10.573308108 45.122485012)"
"C_nov 2016","167","S01452","LO","CO","BRENNA-ALZATE","13029","Brenna","ALBATE-MOLTENO","10","10","3","10","20","0","10","0","0","20","0","2016","Fer","Invernale","9.183346262","4.575412075","POINT (9.183346262 45.75412075)"
"C_nov 2019","155","S01429","LO","SO","CASTIONE ANDEVENNO","14015","Castione Andevenno","TIRANO-MILANO Lc-So","0","0","1","0","1","0","0","0","0","1","0","2019","Fer","Invernale","9.806179088","46.161737068","POINT (9.806179088 46.161737068)"
"C_nov 2022","260","S01823","LO","MI","S.ZENONE AL LAMBRO","15202","San Zenone al Lambro","MILANO-BOLOGNA","480","100","8","1090","69","1090","0","0","69","0","0","2022","Feriale","Invernale","9.361288898","45.337904599","POINT (9.361288898 45.337904599)"
"C_nov 2015","166","S01451","LO","CO","CANTU'","13041","Cantu'","ALBATE-MOLTENO","10","20","4","50","20","0","50","0","0","20","0","2015","Fer","Invernale","9.130350159","45.752397871","POINT (9.130350159 45.752397871)"
"C_nov 2017","320","S01942","LO","PV","CASTEGGIO","18037","Casteggio","ALESS.-PIACENZA","10","10","1","90","15","0","90","0","0","15","0","2017","Fer","Invernale","9.124623708","4.501745237","POINT (9.124623708 45.01745237)"
"C_Luglio2023","183","S01486","LO","MI","CARATE-CALO'","108015","Carate Brianza","MONZA-LECCO","20","10","7","40","44","40","10","0","41","1","2","2023","Feriale","estivo","9.252340508","4.567652894","POINT (9.252340508 45.67652894)"
"C_nov 2021","32","S00252","PI","NO","TRECATE","3149","Trecate","TORINO-MILANO","400","120","8","1670","67","1670","0","0","67","0","0","2021","Feriale","Invernale","8.739372114","4.542852569","POINT (8.739372114 45.42852569)"
"C_nov 2017","224","S01607","LO","CR","SORESINA","19098","Soresina","BERGAMO-CREMONA","140","40","5","360","36","0","360","0","0","36","0","2017","Fer","Invernale","9.856662219","45.283167819","POINT (9.856662219 45.283167819)"
"C_Luglio2023","3","S00031","PI","NO","VESPOLATE","3158","Vespolate","NOVARA-MORTARA","20","10","3","30","10","0","30","0","0","10","0","2023","Feriale","estivo","8.672069059","4.535153791","POINT (8.672069059 45.35153791)"
"C_nov 2021","5.840","S01722","LO","MI","POZZUOLO MART.","15178","Pozzuolo Martesana","MILANO-VENEZIA","330","120","16","770","93","770","10","0","92","1","0","2021","Feriale","Invernale","9.465176435","45.510126551","POINT (9.465176435 45.510126551)"
"C_Luglio2023","2.823","S01782","LO","BS","Vello","17106","Marone","Iseo - Pisogne","10","10","3","450","19","0","450","0","0","19","0","2023","Feriale","estivo","10.083908147","45.752417679","POINT (10.083908147 45.752417679)"
"C_nov 2015","123","S01315","LO","CO","CARIMATE","13046","Carimate","CHIASSO-MILANO","280","70","8","680","65","680","0","0","65","0","0","2015","Fer","Invernale","9.107220464","45.697171053","POINT (9.107220464 45.697171053)"
"C_nov 2017","2.801","S01135","LO","MI","Rescaldina","15181","Rescaldina","Saronno - Novara","840","120","10","1630","74","0","1630","0","0","74","0","2017","Fer","Invernale","8.946679489","45.622159013","POINT (8.946679489 45.622159013)"
"C_nov 2019","287","S01865","LO","PV","CORTEOLONA","18056","Corteolona","PAVIA-CASALPUST.","100","10","5","140","22","0","140","0","0","22","0","2019","Fer","Invernale","9.375508787","45.159782769","POINT (9.375508787 45.159782769)"
"C_nov 2017","135","S01404","LO","SO","VERCEIA","14075","Verceia","CHIAVENNA-COLICO","50","10","3","110","30","0","110","0","0","30","0","2017","Fer","Invernale","9.458448611","46.202905061","POINT (9.458448611 46.202905061)"
"C_nov 2020","194","S01510","LO","MI","ARCORE","108004","Arcore","TIRANO-MILANO Mz-Lc","310","140","14","1230","107","800","430","0","67","40","0","2020","Feriale","Invernale","9.322824319","45.623570636","POINT (9.322824319 45.623570636)"
"C_Luglio2023","2.709","S01092","LO","CO","Arosio","13012","Arosio","Seveso - Asso","220","50","8","440","49","0","440","0","0","49","0","2023","Feriale","estivo","9.210246869","4.571835634","POINT (9.210246869 45.71835634)"
"C_nov 2022","5.839","S01058","LO","MI","PREGNANA MIL.","15179","Pregnana Milanese","TORINO-MILANO","360","120","8","1020","69","1020","0","0","69","0","0","2022","Feriale","Invernale","8.983574748","45.503547665","POINT (8.983574748 45.503547665)"
"C_Luglio2023","71","S01020","PI","NO","ARONA","3008","Arona","DOMODOSSOLA-MILANO","240","130","7","1240","50","0","640","600","0","32","18","2023","Feriale","estivo","8.559107617","4.575531295","POINT (8.559107617 45.75531295)"
"C_nov 2016","129","S01325","LO","MI","SESTO S. GIOVANNI","15209","Sesto San Giovanni","CHIASSO-MILANO","1410","3420","40","10440","310","8370","2080","0","246","64","0","2016","Fer","Invernale","9.239294385","45.541170043","POINT (9.239294385 45.541170043)"
"C_nov 2016","2.745","S01744","LO","VA","Cocquio-Trevisago","12053","Cocquio-Trevisago","Varese Nord - Laveno Momb","170","40","7","460","42","0","170","300","0","21","21","2016","Fer","Invernale","8.690075387","45.860132463","POINT (8.690075387 45.860132463)"
"C_nov 2015","2.861","S01639","LO","MI","MILANO VILLAPIZZONE","15146","Milano","PASSANTE","730","1320","25","3720","196","3140","200","390","178","5","13","2015","Fer","Invernale","9.150254378","45.502301332","POINT (9.150254378 45.502301332)"
"C_nov 2017","179","S01482","LO","MI","BUTTAFAVA","108049","Villasanta","MONZA-LECCO","80","20","6","150","40","150","0","0","40","0","0","2017","Fer","Invernale","9.301221362","45.621491933","POINT (9.301221362 45.621491933)"
"C_Novembre2023","2.810","S01073","LO","MI","Garbagnate Parco Groane","15105","Garbagnate Milanese","Milano Nord Cadorna - Sar","580","130","16","1260","133","1260","0","0","133","0","0","2023","Feriale","Invernale","9.091157698","45.571158456","POINT (9.091157698 45.571158456)"
"C_nov 2019","85","S01041","LO","MI","CORBETTA-S.STEFANO TIC.","15200","Santo Stefano Ticino","TORINO-MILANO","690","200","8","1890","74","1890","0","0","74","0","0","2019","Fer","Invernale","8.917496093","45.480908343","POINT (8.917496093 45.480908343)"
"C_Novembre2023","2.817","S01751","LO","MI","Turbigo","15226","Turbigo","Saronno - Novara","390","80","6","790","36","0","790","0","0","36","0","2023","Feriale","Invernale","8.738913891","45.528044364","POINT (8.738913891 45.528044364)"
"C_nov 2016","34","S00272","LO","PV","ROBBIO","18123","Robbio","VERCELLI-PAVIA","150","20","5","240","28","0","240","0","0","28","0","2016","Fer","Invernale","8.597086609","45.293627181","POINT (8.597086609 45.293627181)"
"C_nov 2018","2.794","S01786","LO","BS","Pilzone","17085","Iseo","Iseo - Pisogne","30","10","4","50","20","0","50","0","0","20","0","2018","Fer","Invernale","10.079163075","45.674416503","POINT (10.079163075 45.674416503)"
"C_nov 2020","313","S01923","LO","MN","CASTELLUCCHIO","20016","Castellucchio","CODOGNO-MANTOVA","20","10","4","40","28","0","20","30","0","7","21","2020","Feriale","Invernale","10.647514805","45.144370088","POINT (10.647514805 45.144370088)"
"C_Luglio2023","256","S01810","PI","AL","TORTONA","6174","Tortona","MILANO-GENOVA","200","40","3","580","20","0","0","580","0","0","20","2023","Feriale","estivo","0.886181929","4.490006568","POINT (8.86181929 44.90006568)"
"C_nov 2022","36","S00274","LO","PV","GAMBOLO'-REMONDO'","18068","Gambolo'","VERCELLI-PAVIA","10","10","3","40","25","0","40","0","0","25","0","2022","Feriale","Invernale","8.797608181","45.235955245","POINT (8.797608181 45.235955245)"
"C_nov 2017","76","S01029","LO","VA","CASORATE SEMPIONE","12039","Casorate Sempione","DOMODOSSOLA-MILANO","170","50","6","390","33","0","390","0","0","33","0","2017","Fer","Invernale","8.743986914","45.675152648","POINT (8.743986914 45.675152648)"
"C_nov 2017","39","S00277","LO","PV","GROPELLO CAIROLI","18076","Gropello Cairoli","VERCELLI-PAVIA","120","10","4","200","28","0","200","0","0","28","0","2017","Fer","Invernale","8.991656466","4.517318205","POINT (8.991656466 45.17318205)"
"C_nov 2021","205","S01526","LO","BG","PONTIDA","16171","Pontida","LECCO-BRESCIA","80","20","4","190","31","0","190","0","0","31","0","2021","Feriale","Invernale","9.511662206","45.730161398","POINT (9.511662206 45.730161398)"
"C_nov 2019","2.717","S01072","LO","MI","Bollate Nord","15027","Bollate","Milano Nord Cadorna - Sar","650","190","17","1480","140","1480","0","0","140","0","0","2019","Fer","Invernale","9.112398385","45.552681567","POINT (9.112398385 45.552681567)"
"C_nov 2015","89","S01062","LO","MI","ABBIATEGRASSO","15002","Abbiategrasso","MILANO-MORTARA-AL","1440","290","9","3330","51","0","3330","0","0","51","0","2015","FER","Invernale","8.921337035","45.400715222","POINT (8.921337035 45.400715222)"
"C_nov 2021","2.979","S01530","LO","BG","Bergamo Ospedale","16024","Bergamo","LECCO-BRESCIA","40","50","4","290","40","0","290","0","0","40","0","2021","Feriale","Invernale","9.638900819","45.688275861","POINT (9.638900819 45.688275861)"
"C_nov 2018","2.865","S01624","LO","MI","SAN DONATO MILANESE","15192","San Donato Milanese","MILANO-BOLOGNA","110","500","9","840","79","840","0","0","79","0","0","2018","Fer","Invernale","9.253900071","45.417940908","POINT (9.253900071 45.417940908)"
"C_Luglio2023","285","S01863","LO","PV","ALBUZZANO","18004","Albuzzano","PAVIA-CASALPUST.","10","20","4","20","22","0","20","0","0","22","0","2023","Feriale","estivo","9.261661322","4.517259006","POINT (9.261661322 45.17259006)"
"C_nov 2020","2.767","S01094","LO","CO","Lambrugo-Lurago","13121","Lambrugo","Seveso - Asso","20","10","6","60","43","0","60","0","0","43","0","2020","Feriale","Invernale","9.238491713","45.761639869","POINT (9.238491713 45.761639869)"
"C_nov 2022","2.731","S01758","LO","CO","Caslino al Piano","13036","Cadorago","Saronno - Como","220","60","8","500","62","0","500","0","0","62","0","2022","Feriale","Invernale","9.040174552","45.711047814","POINT (9.040174552 45.711047814)"
"C_nov 2020","2.793","S01780","LO","BS","Piancamuno-Gratacasolo","17142","Pian Camuno","Pisogne - Breno","10","10","3","30","17","0","30","0","0","17","0","2020","Feriale","Invernale","10.138337016","45.839909876","POINT (10.138337016 45.839909876)"
"C_nov 2020","44","S00402","LO","PV","PIEVE ALBIGNOLA","18112","Pieve Albignola","CAVA C.-TORREBER","10","10","4","30","23","0","30","0","0","23","0","2020","Feriale","Invernale","8.959758126","45.116329989","POINT (8.959758126 45.116329989)"
"C_nov 2020","2.979","S01530","LO","BG","Bergamo Ospedale","16024","Bergamo","LECCO-BRESCIA","10","20","4","80","40","0","80","0","0","40","0","2020","Feriale","Invernale","9.638900819","45.688275861","POINT (9.638900819 45.688275861)"
"C_nov 2021","2.756","S01760","LO","CO","Fino Mornasco","13102","Fino Mornasco","Saronno - Como","340","90","8","950","62","0","950","0","0","62","0","2021","Feriale","Invernale","9.047021129","45.746532082","POINT (9.047021129 45.746532082)"
"C_nov 2016","803","S02083","LO","BS","LONATO","17092","Lonato","MILANO-VENEZIA","10","10","1","10","2","0","10","0","0","2","0","2016","Fer","Invernale","10.486740042","45.457282784","POINT (10.486740042 45.457282784)"
"C_nov 2018","2.853","S01748","PI","NO","Galliate","3068","Galliate","Saronno - Novara","270","90","6","610","38","0","610","0","0","38","0","2018","Fer","Invernale","8.691135844","45.481138261","POINT (8.691135844 45.481138261)"
"C_nov 2018","74","S01027","LO","VA","VERGIATE","12138","Vergiate","DOMODOSSOLA-MILANO","190","60","6","440","33","0","440","0","0","33","0","2018","Fer","Invernale","8.693230518","45.717200688","POINT (8.693230518 45.717200688)"
"C_nov 2022","5.837","S01611","LO","BG","LEVATE","16126","Levate","BERGAMO-CREMONA","130","40","8","300","47","0","300","0","0","46","1","2022","Feriale","Invernale","0.962785005","45.622899995","POINT (9.62785005 45.622899995)"
"C_Novembre2023","303","S01913","LO","CR","ACQUANEGRA CREMONESE","19001","Acquanegra Cremonese","CODOGNO-MANTOVA","20","20","3","30","11","0","30","0","0","11","0","2023","Feriale","Invernale","9.888484165","45.172179192","POINT (9.888484165 45.172179192)"
"C_nov 2021","220","S01603","LO","CR","CAPRALBA","19015","Capralba","BERGAMO-CREMONA","90","20","5","170","35","0","170","0","0","35","0","2021","Feriale","Invernale","9.640048136","45.443945977","POINT (9.640048136 45.443945977)"
"C_nov 2015","271","S01843","LO","BS","CALVISANO","17034","Calvisano","BRESCIA-PARMA","60","10","4","150","24","0","150","0","0","24","0","2015","Fer","Invernale","10.349435029","45.346652138","POINT (10.349435029 45.346652138)"
"C_nov 2019","239","S01708","LO","BG","TREVIGLIO","16219","Treviglio","MILANO-VENEZIA","3140","1920","41","9010","252","2470","4490","2060","96","121","35","2019","Fer","Invernale","9.587945358","45.515141265","POINT (9.587945358 45.515141265)"
"C_nov 2022","129","S01325","LO","MI","SESTO S. GIOVANNI","15209","Sesto San Giovanni","CHIASSO-MILANO","1470","3270","36","9860","283","8480","1320","70","239","40","4","2022","Feriale","Invernale","9.239294385","45.541170043","POINT (9.239294385 45.541170043)"
"C_nov 2021","204","S01525","LO","BG","CISANO-CAPRINO BERGAM.","16074","Cisano Bergamasco","LECCO-BRESCIA","180","40","4","460","31","0","460","0","0","31","0","2021","Feriale","Invernale","9.474295043","45.739683366","POINT (9.474295043 45.739683366)"
"C_nov 2018","2.818","S01753","LO","MI","Vanzaghello","15249","Vanzaghello","Saronno - Novara","440","70","6","860","38","0","860","0","0","38","0","2018","Fer","Invernale","8.787492635","4.557757515","POINT (8.787492635 45.57757515)"
"C_nov 2021","268","S01840","LO","BS","MONTIRONE","17114","Montirone","BRESCIA-PARMA","20","10","4","50","25","0","50","0","0","25","0","2021","Feriale","Invernale","10.239507594","45.451430581","POINT (10.239507594 45.451430581)"
"C_nov 2015","268","S01840","LO","BS","MONTIRONE","17114","Montirone","BRESCIA-PARMA","20","10","4","60","24","0","60","0","0","24","0","2015","Fer","Invernale","10.239507594","45.451430581","POINT (10.239507594 45.451430581)"
"C_nov 2022","2.803","S01756","LO","CO","Rovellasca-Manera","13201","Rovellasca","Saronno - Como","470","90","8","950","62","0","950","0","0","62","0","2022","Feriale","Invernale","9.038331172","0.456656699","POINT (9.038331172 45.6656699)"
"C_nov 2017","321","S01943","LO","PV","S.GIULETTA","18140","Santa Giuletta","ALESS.-PIACENZA","10","10","1","30","15","0","30","0","0","15","0","2017","Fer","Invernale","9.179278043","45.035797363","POINT (9.179278043 45.035797363)"
"C_nov 2015","129","S01325","LO","MI","SESTO S. GIOVANNI","15209","Sesto San Giovanni","CHIASSO-MILANO","1380","3750","40","10340","302","8380","1950","20","236","65","1","2015","Fer","Invernale","9.239294385","45.541170043","POINT (9.239294385 45.541170043)"
"C_nov 2022","230","S01640","LO","MI","MILANO CERTOSA","15146","Milano","TORINO-MILANO","1300","1110","22","5930","172","5900","40","0","167","3","2","2022","Feriale","Invernale","0.913393857","45.507007737","POINT (9.13393857 45.507007737)"
"C_nov 2020","2.759","S01742","LO","VA","Gavirate","12072","Gavirate","Varese Nord - Laveno Momb","40","30","6","190","37","0","110","90","0","23","14","2020","Feriale","Invernale","8.714805048","4.584561142","POINT (8.714805048 45.84561142)"
"C_nov 2015","156","S01430","LO","SO","SONDRIO","14061","Sondrio","TIRANO-MILANO Lc-So","180","930","7","2330","67","0","1180","1150","0","40","27","2015","FER","Invernale","0.987296139","46.167141595","POINT (9.87296139 46.167141595)"
"C_nov 2020","86","S01042","LO","MI","VITTUONE-ARLUNO","15243","Vittuone","TORINO-MILANO","190","100","8","650","69","650","0","0","69","0","0","2020","Feriale","Invernale","8.947336756","45.491137732","POINT (8.947336756 45.491137732)"
"C_nov 2017","2.771","S01757","LO","CO","Lomazzo","13133","Lomazzo","Saronno - Como","1050","220","11","2230","70","0","1840","400","0","60","10","2017","Fer","Invernale","9.036101686","45.698756116","POINT (9.036101686 45.698756116)"
"C_nov 2019","307","S01917","LO","CR","GAZZO-PIEVE S.GIACOMO","19075","Pieve San Giacomo","CODOGNO-MANTOVA","50","10","1","70","9","0","70","10","0","8","1","2019","Fer","Invernale","1.018994286","45.137237048","POINT (10.18994286 45.137237048)"
"C_nov 2015","83","S01037","LO","MI","RHO","15182","Rho","TORINO-MILANO","1780","770","19","6250","176","6250","0","0","176","0","0","2015","Fer","Invernale","9.043583998","45.523927896","POINT (9.043583998 45.523927896)"
"C_nov 2021","286","S01864","LO","PV","BELGIOIOSO","18013","Belgioioso","PAVIA-CASALPUST.","130","20","4","190","22","0","190","0","0","22","0","2021","Feriale","Invernale","9.316907213","45.164645746","POINT (9.316907213 45.164645746)"
"C_nov 2022","226","S01610","LO","CR","MADIGNANO","19055","Madignano","BERGAMO-CREMONA","30","10","4","80","34","0","80","0","0","34","0","2022","Feriale","Invernale","9.730205146","45.343905446","POINT (9.730205146 45.343905446)"
"C_Novembre2023","2.859","S01139","LO","VA","Malpensa Aeroporto T1","12140","Vizzola Ticino","Busto Arsizio - Malpensa","630","1340","19","6640","172","570","2090","3980","26","44","102","2023","Feriale","Invernale","8.711317166","45.626885232","POINT (8.711317166 45.626885232)"
"C_nov 2021","160","S01436","LO","SO","S.GIACOMO DI TEGLIO","14065","Teglio","TIRANO-MILANO So-Tir","20","0","1","20","4","0","10","20","0","3","1","2021","Feriale","Invernale","10.027439647","46.159795887","POINT (10.027439647 46.159795887)"
"C_nov 2017","2.822","S01736","LO","VA","Vedano Olona","12134","Vedano Olona","Saronno - Varese Nord","270","70","8","600","57","0","600","0","0","57","0","2017","Fer","Invernale","8.887080675","45.777359271","POINT (8.887080675 45.777359271)"
"C_nov 2018","104","S01141","LO","VA","BESOZZO","12013","Besozzo","LUINO-GALLARATE","130","40","4","310","31","0","310","0","0","31","0","2018","Fer","Invernale","0.866303949","45.842264864","POINT (8.66303949 45.842264864)"
"C_Luglio2023","90","S01063","LO","MI","GAGGIANO","15103","Gaggiano","MILANO-MORTARA-AL","0","0","0","10","2","0","10","0","0","2","0","2023","Feriale","estivo","9.031152518","45.408906664","POINT (9.031152518 45.408906664)"
