"Campagna","CodStaz","codice_aziendale","Reg","Prov_","Stazione","cod_istat","Comune","Linea fisica","Saliti7-9","Discesi7-9","Corse7-9","Saliti24H","Corse24H","Saliti_S","Saliti_R","Saliti_RE","Corse_S","Corse_R","Corse_RE","Anno","tipo_giorno","Calendario","POINT_X","POINT_Y","Location"
"C_Luglio2023","307","S01917","LO","CR","GAZZO-PIEVE S.GIACOMO","19075","Pieve San Giacomo","CODOGNO-MANTOVA","10","10","1","30","8","0","30","10","0","7","1","2023","Feriale","estivo","1.018994286","45.137237048","POINT (10.18994286 45.137237048)"
"C_nov 2017","219","S01602","LO","BG","CARAVAGGIO","16053","Caravaggio","BERGAMO-CREMONA","190","40","5","360","35","0","360","0","0","35","0","2017","Fer","Invernale","9.637752922","45.491237226","POINT (9.637752922 45.491237226)"
"C_Novembre2023","151","S01425","LO","SO","MORBEGNO","14045","Morbegno","TIRANO-MILANO Lc-So","450","320","7","1090","48","0","540","560","0","22","26","2023","Feriale","Invernale","9.568674621","46.136732198","POINT (9.568674621 46.136732198)"
"C_nov 2017","284","S01862","LO","PV","MOTTA S.DAMIANO","18110","Pavia","PAVIA-CASALPUST.","10","10","5","10","27","0","10","0","0","27","0","2017","Fer","Invernale","9.219902925","45.178421105","POINT (9.219902925 45.178421105)"
"C_nov 2022","178","S01481","LO","MI","VILLASANTA","108049","Villasanta","MONZA-LECCO","350","150","8","640","40","640","0","0","40","0","0","2022","Feriale","Invernale","9.305121962","45.603443796","POINT (9.305121962 45.603443796)"
"C_nov 2021","2.853","S01748","PI","NO","Galliate","3068","Galliate","Saronno - Novara","220","80","6","520","34","0","520","0","0","34","0","2021","Feriale","Invernale","8.691135844","45.481138261","POINT (8.691135844 45.481138261)"
"C_nov 2017","10","S00039","LO","PV","TORREBERETTI","18156","Torre Beretti e Castellaro","MILANO-MORTARA-AL","30","10","5","60","35","0","60","0","0","35","0","2017","Fer","Invernale","8.660466652","45.060615837","POINT (8.660466652 45.060615837)"
"C_Novembre2023","91","S01064","LO","MI","CORSICO","15093","Corsico","MILANO-MORTARA-AL","160","120","7","580","66","580","10","0","64","2","0","2023","Feriale","Invernale","9.105184247","45.434772406","POINT (9.105184247 45.434772406)"
"C_nov 2020","2.856","S01648","LO","MI","MILANO REPUBBLICA","15146","Milano","PASSANTE","480","1160","38","3700","270","3700","0","0","270","0","0","2020","Feriale","Invernale","9.198815201","45.480365497","POINT (9.198815201 45.480365497)"
"C_nov 2018","274","S01846","LO","BS","REMEDELLO SOTTO","17160","Remedello","BRESCIA-PARMA","20","10","3","60","24","0","60","0","0","24","0","2018","Fer","Invernale","1.038843093","45.257552358","POINT (10.38843093 45.257552358)"
"C_nov 2017","2.726","S01759","LO","CO","Cadorago","13036","Cadorago","Saronno - Como","350","70","8","700","61","0","700","10","0","60","1","2017","Fer","Invernale","9.041099041","45.729810407","POINT (9.041099041 45.729810407)"
"C_Luglio2023","235","S01704","LO","MI","VIGNATE","15237","Vignate","MILANO-VENEZIA","400","180","16","1240","94","1220","30","0","92","1","1","2023","Feriale","estivo","0.937411303","45.494025151","POINT (9.37411303 45.494025151)"
"C_nov 2016","328","S01951","EM","PC","S.NICOLO'","33039","Rottofreno","ALESS.-PIACENZA","10","0","1","20","14","0","20","0","0","14","0","2016","Fer","Invernale","9.606551575","4.505875181","POINT (9.606551575 45.05875181)"
