Fonte,URL,Uso
Trenord dati mobilità 2024,https://www.trenord.it/news/trenord-informa/comunicati-stampa/dati-mobilita-2024/,valori 2024 e variazioni percentuali 2024 vs 2023 per S1/S12 S5 S6 S8
Trenord dati 2025,https://www.trenord.it/news/trenord-informa/comunicati-stampa/dati-2025-trenord/,valori 2025 e variazioni percentuali 2025 vs 2024 per S5 S6 S8 e valore S1/S12
Contratto servizio Regione Lombardia relazione programma esercizio 2019,https://www.regione.lombardia.it/wps/wcm/connect/d391f02c-a7e1-4fe3-b341-485dcbda0b7b/ContrattoServizio_RegioneLombardia_Relazione_exDelibera48-2017.pdf?CACHEID=ROOTWORKSPACE-d391f02c-a7e1-4fe3-b341-485dcbda0b7b-nU1-ob3&MOD=AJPERES,quote 2019 per ricostruire le utenze feriali di linea
Regione Lombardia Flussi Stazioni Ferroviarie,https://www.dati.lombardia.it/Mobilit-e-trasporti/Flussi-Stazioni-Ferroviarie/m2u2-frtq/about_data,dataset storico stazioni 2015-2023
Regione Lombardia Frequentazione stazioni SFR,https://hub.dati.lombardia.it/stories/s/SFR-dati-di-frequentazione/52uy-dgwp/,dataset stazioni 2024-2025
